iter	Passed	Remaining
674	3885	7627
675	3889	7617
676	3893	7608
677	3897	7598
678	3900	7589
679	3904	7579
680	3908	7570
681	3912	7560
682	3916	7551
683	3920	7542
684	3924	7532
685	3928	7523
686	3932	7514
687	3935	7505
688	3939	7496
689	3943	7486
690	3948	7480
691	3954	7475
692	3961	7470
693	3965	7462
694	3970	7454
695	3975	7449
696	3979	7440
697	3983	7430
698	3987	7421
699	3992	7414
700	3995	7404
701	3999	7395
702	4003	7386
703	4007	7377
704	4011	7367
705	4014	7358
706	4018	7349
707	4022	7340
708	4026	7332
709	4030	7322
710	4034	7313
711	4037	7304
712	4041	7295
713	4045	7286
714	4049	7277
715	4053	7268
716	4057	7260
717	4061	7251
718	4066	7244
719	4069	7235
720	4073	7226
721	4077	7218
722	4081	7209
723	4085	7200
724	4089	7191
725	4093	7183
726	4097	7174
727	4101	7165
728	4105	7157
729	4109	7149
730	4113	7140
731	4116	7131
732	4120	7122
733	4124	7114
734	4128	7105
735	4132	7096
736	4135	7087
737	4139	7078
738	4143	7070
739	4147	7061
740	4151	7052
741	4154	7044
742	4158	7035
743	4162	7026
744	4166	7019
745	4170	7010
746	4175	7004
747	4179	6995
748	4184	6988
749	4188	6980
750	4192	6972
751	4196	6964
752	4200	6955
753	4205	6949
754	4209	6941
755	4213	6932
756	4217	6924
757	4223	6920
758	4227	6911
759	4231	6903
760	4235	6896
761	4240	6889
762	4244	6880
763	4247	6872
764	4252	6865
765	4257	6858
766	4260	6849
767	4265	6842
768	4270	6836
769	4274	6827
770	4278	6819
771	4282	6812
772	4287	6805
773	4291	6797
774	4295	6789
775	4299	6781
776	4304	6774
777	4307	6766
778	4311	6758
779	4316	6751
780	4321	6745
781	4325	6736
782	4329	6729
783	4334	6723
784	4339	6715
785	4343	6708
786	4348	6702
787	4354	6696
788	4357	6688
789	4362	6682
790	4368	6677
791	4372	6668
792	4375	6660
793	4380	6653
794	4385	6647
795	4389	6639
796	4393	6631
797	4397	6624
798	4403	6618
799	4407	6610
800	4412	6605
801	4417	6598
802	4420	6590
803	4425	6583
804	4429	6575
805	4434	6569
806	4438	6562
807	4442	6554
808	4447	6546
809	4450	6538
810	4455	6531
811	4459	6524
812	4464	6517
813	4467	6509
814	4472	6503
815	4476	6495
816	4480	6488
817	4485	6481
818	4489	6473
819	4493	6465
820	4497	6458
821	4501	6450
822	4505	6443
823	4510	6436
824	4513	6428
825	4519	6424
826	4524	6418
827	4530	6412
828	4536	6407
829	4541	6401
830	4546	6395
831	4551	6389
832	4556	6383
833	4563	6380
834	4568	6373
835	4572	6367
836	4578	6361
837	4585	6358
838	4592	6355
839	4599	6351
840	4603	6344
841	4608	6337
842	4614	6333
843	4618	6326
844	4622	6318
845	4630	6315
846	4634	6308
847	4639	6302
848	4644	6296
849	4648	6289
850	4652	6282
851	4657	6275
852	4662	6269
853	4666	6262
854	4670	6254
855	4675	6248
856	4679	6241
857	4683	6234
858	4687	6226
859	4693	6221
860	4697	6214
861	4701	6206
862	4705	6199
863	4709	6191
864	4712	6184
865	4716	6176
866	4721	6169
867	4725	6162
868	4728	6154
869	4732	6146
870	4736	6139
871	4740	6132
872	4744	6125
873	4748	6117
874	4752	6110
875	4756	6103
876	4760	6096
877	4764	6088
878	4768	6081
879	4772	6073
880	4775	6066
881	4779	6058
882	4784	6052
883	4788	6045
884	4792	6037
885	4795	6030
886	4799	6022
887	4803	6015
888	4807	6008
889	4811	6000
890	4815	5993
891	4819	5986
892	4823	5978
893	4826	5971
894	4830	5964
895	4834	5956
896	4839	5950
897	4843	5943
898	4848	5937
899	4854	5933
900	4858	5926
901	4863	5920
902	4871	5917
903	4876	5912
904	4880	5905
905	4888	5902
906	4893	5897
907	4897	5889
908	4903	5885
909	4909	5880
910	4913	5873
911	4919	5868
912	4924	5862
913	4928	5855
914	4933	5850
915	4938	5843
916	4941	5836
917	4946	5829
918	4950	5823
919	4955	5817
920	4959	5810
921	4965	5805
922	4970	5799
923	4974	5793
924	4981	5788
925	4986	5783
926	4991	5777
927	4998	5773
928	5003	5768
929	5007	5761
930	5014	5757
931	5020	5753
932	5025	5746
933	5030	5741
934	5037	5737
935	5042	5731
936	5047	5726
937	5053	5721
938	5059	5716
939	5065	5712
940	5070	5706
941	5075	5700
942	5081	5696
943	5087	5690
944	5091	5684
945	5097	5679
946	5102	5673
947	5107	5667
948	5112	5662
949	5116	5655
950	5122	5650
951	5130	5647
952	5139	5646
953	5147	5643
954	5153	5639
955	5160	5635
956	5164	5628
957	5169	5622
958	5174	5616
959	5177	5609
960	5182	5603
961	5186	5596
962	5190	5589
963	5194	5582
964	5198	5575
965	5201	5568
966	5206	5561
967	5210	5554
968	5214	5547
969	5217	5540
970	5222	5534
971	5226	5527
972	5229	5520
973	5233	5513
974	5238	5506
975	5242	5500
976	5246	5493
977	5250	5486
978	5255	5480
979	5259	5473
980	5263	5466
981	5266	5460
982	5270	5453
983	5274	5446
984	5278	5439
985	5282	5432
986	5286	5425
987	5290	5418
988	5293	5411
989	5297	5404
990	5301	5397
991	5305	5391
992	5309	5384
993	5313	5377
994	5317	5370
995	5321	5364
996	5325	5357
997	5329	5350
998	5333	5343
999	5337	5337
1000	5340	5330
1001	5344	5323
1002	5348	5316
1003	5353	5310
1004	5356	5303
1005	5360	5296
1006	5364	5289
1007	5368	5283
1008	5372	5276
1009	5375	5269
1010	5379	5262
1011	5383	5255
1012	5387	5249
1013	5392	5243
1014	5396	5236
1015	5400	5230
1016	5404	5223
1017	5408	5216
1018	5411	5210
1019	5415	5203
1020	5419	5196
1021	5423	5189
1022	5427	5183
1023	5430	5176
1024	5434	5169
1025	5438	5163
1026	5442	5156
1027	5446	5149
1028	5451	5143
1029	5455	5137
1030	5459	5131
1031	5463	5124
1032	5467	5118
1033	5471	5111
1034	5474	5104
1035	5478	5097
1036	5482	5091
1037	5486	5084
1038	5490	5077
1039	5493	5071
1040	5498	5065
1041	5502	5058
1042	5505	5051
1043	5509	5045
1044	5513	5038
1045	5517	5031
1046	5520	5025
1047	5525	5019
1048	5529	5012
1049	5534	5007
1050	5539	5001
1051	5543	4995
1052	5550	4991
1053	5557	4987
1054	5561	4981
1055	5566	4976
1056	5572	4971
1057	5577	4965
1058	5581	4959
1059	5586	4954
1060	5591	4948
1061	5597	4943
1062	5602	4938
1063	5607	4932
1064	5613	4928
1065	5618	4923
1066	5624	4918
1067	5629	4912
1068	5633	4906
1069	5638	4900
1070	5643	4895
1071	5647	4888
1072	5652	4883
1073	5657	4878
1074	5663	4873
1075	5668	4867
1076	5674	4863
1077	5679	4857
1078	5683	4851
1079	5689	4846
1080	5695	4842
1081	5699	4835
1082	5706	4831
1083	5713	4827
1084	5717	4821
1085	5722	4816
1086	5728	4811
1087	5733	4805
1088	5737	4799
1089	5743	4795
1090	5747	4789
1091	5751	4782
1092	5756	4776
1093	5761	4771
1094	5765	4764
1095	5770	4759
1096	5776	4754
1097	5779	4748
1098	5784	4742
1099	5789	4736
1100	5793	4730
1101	5797	4724
1102	5802	4718
1103	5808	4713
1104	5811	4707
1105	5816	4701
1106	5820	4695
1107	5826	4690
1108	5830	4684
1109	5834	4678
1110	5840	4673
1111	5843	4666
1112	5848	4660
1113	5852	4654
1114	5858	4649
1115	5861	4643
1116	5866	4637
1117	5872	4633
1118	5876	4626
1119	5881	4621
1120	5885	4615
1121	5890	4609
1122	5894	4603
1123	5899	4597
1124	5904	4592
1125	5908	4586
1126	5912	4580
1127	5916	4573
1128	5922	4569
1129	5926	4562
1130	5931	4557
1131	5937	4552
1132	5941	4546
1133	5945	4540
1134	5951	4535
1135	5955	4529
1136	5959	4523
1137	5964	4517
1138	5969	4512
1139	5973	4506
1140	5977	4500
1141	5981	4493
1142	5987	4489
1143	5991	4482
1144	5996	4477
1145	6001	4472
1146	6005	4466
1147	6010	4460
1148	6015	4455
1149	6021	4450
1150	6025	4444
1151	6030	4439
1152	6035	4433
1153	6039	4427
1154	6045	4422
1155	6049	4416
1156	6053	4410
1157	6057	4404
1158	6061	4398
1159	6065	4391
1160	6069	4385
1161	6072	4379
1162	6077	4373
1163	6081	4367
1164	6085	4361
1165	6089	4355
1166	6094	4350
1167	6098	4343
1168	6101	4337
1169	6105	4331
1170	6110	4325
1171	6114	4319
1172	6118	4313
1173	6122	4307
1174	6126	4301
1175	6131	4295
1176	6134	4289
1177	6139	4283
1178	6143	4277
1179	6151	4274
1180	6160	4272
1181	6174	4273
1182	6185	4272
1183	6194	4269
1184	6202	4266
1185	6208	4261
1186	6215	4256
1187	6222	4252
1188	6228	4248
1189	6233	4242
1190	6240	4238
1191	6245	4233
1192	6251	4228
1193	6259	4225
1194	6263	4219
1195	6269	4214
1196	6274	4209
1197	6278	4202
1198	6282	4197
1199	6286	4191
1200	6291	4185
1201	6295	4179
1202	6299	4173
1203	6304	4167
1204	6308	4161
1205	6312	4155
1206	6316	4149
1207	6320	4144
1208	6324	4137
1209	6330	4132
1210	6334	4126
1211	6340	4122
1212	6346	4117
1213	6351	4112
1214	6358	4108
1215	6363	4102
1216	6369	4098
1217	6376	4093
1218	6380	4087
1219	6385	4082
1220	6393	4078
1221	6397	4072
1222	6401	4067
1223	6408	4062
1224	6412	4057
1225	6417	4051
1226	6423	4046
1227	6427	4040
1228	6433	4035
1229	6440	4031
1230	6448	4028
1231	6455	4024
1232	6460	4018
1233	6464	4012
1234	6471	4008
1235	6475	4002
1236	6480	3997
1237	6485	3992
1238	6490	3986
1239	6495	3981
1240	6501	3976
1241	6505	3970
1242	6511	3965
1243	6517	3960
1244	6521	3954
1245	6526	3949
1246	6532	3944
1247	6536	3938
1248	6542	3933
1249	6547	3928
1250	6553	3923
1251	6557	3917
1252	6565	3914
1253	6575	3911
1254	6583	3908
1255	6590	3903
1256	6598	3900
1257	6603	3894
1258	6607	3889
1259	6612	3883
1260	6618	3878
1261	6622	3872
1262	6626	3866
1263	6632	3862
1264	6636	3855
1265	6640	3850
1266	6647	3845
1267	6651	3839
1268	6655	3833
1269	6661	3828
1270	6667	3823
1271	6670	3817
1272	6674	3811
1273	6680	3807
1274	6684	3801
1275	6688	3794
1276	6693	3789
1277	6698	3784
1278	6702	3778
1279	6706	3772
1280	6712	3767
1281	6716	3761
1282	6720	3755
1283	6725	3750
1284	6730	3744
1285	6735	3739
1286	6739	3733
1287	6744	3728
1288	6749	3722
1289	6753	3716
1290	6757	3711
1291	6761	3705
1292	6765	3699
1293	6769	3693
1294	6776	3688
1295	6783	3685
1296	6789	3680
1297	6794	3674
1298	6799	3669
1299	6804	3663
1300	6808	3657
1301	6814	3652
1302	6818	3647
1303	6822	3641
1304	6828	3636
1305	6832	3630
1306	6837	3625
1307	6843	3620
1308	6847	3614
1309	6852	3609
1310	6857	3603
1311	6861	3598
1312	6866	3592
1313	6870	3586
1314	6875	3581
1315	6879	3575
1316	6884	3570
1317	6889	3564
1318	6893	3559
1319	6898	3553
1320	6902	3548
1321	6908	3542
1322	6912	3537
1323	6916	3531
1324	6921	3526
1325	6926	3520
1326	6931	3515
1327	6935	3509
1328	6940	3504
1329	6944	3498
1330	6948	3492
1331	6953	3487
1332	6957	3481
1333	6961	3475
1334	6965	3469
1335	6970	3464
1336	6975	3459
1337	6980	3453
1338	6984	3448
1339	6989	3442
1340	6993	3436
1341	6997	3431
1342	7001	3425
1343	7008	3420
1344	7016	3416
1345	7020	3411
1346	7024	3405
1347	7028	3399
1348	7032	3393
1349	7036	3388
1350	7041	3382
1351	7046	3377
1352	7049	3371
1353	7054	3365
1354	7058	3359
1355	7062	3354
1356	7066	3348
1357	7070	3342
1358	7074	3336
1359	7085	3334
1360	7095	3331
1361	7116	3333
1362	7122	3328
1363	7127	3323
1364	7133	3318
1365	7139	3313
1366	7143	3307
1367	7148	3302
1368	7153	3297
1369	7157	3291
1370	7162	3285
1371	7166	3280
1372	7171	3274
1373	7178	3270
1374	7182	3264
1375	7186	3259
1376	7190	3253
1377	7195	3247
1378	7199	3242
1379	7204	3236
1380	7208	3231
1381	7212	3225
1382	7218	3220
1383	7222	3214
1384	7226	3208
1385	7231	3203
1386	7235	3197
1387	7240	3192
1388	7244	3186
1389	7249	3181
1390	7254	3175
1391	7258	3170
1392	7262	3164
1393	7266	3158
1394	7270	3153
1395	7275	3147
1396	7280	3142
1397	7283	3136
1398	7288	3131
1399	7292	3125
1400	7297	3120
1401	7302	3114
1402	7306	3108
1403	7310	3103
1404	7314	3097
1405	7318	3091
1406	7322	3086
1407	7326	3080
1408	7330	3074
1409	7335	3069
1410	7339	3063
1411	7343	3058
1412	7347	3052
1413	7351	3046
1414	7356	3041
1415	7361	3036
1416	7366	3030
1417	7370	3025
1418	7375	3019
1419	7380	3014
1420	7385	3009
1421	7389	3003
1422	7394	2998
1423	7398	2992
1424	7402	2987
1425	7406	2981
1426	7414	2977
1427	7421	2972
1428	7426	2967
1429	7430	2961
1430	7436	2956
1431	7440	2951
1432	7444	2945
1433	7449	2940
1434	7453	2934
1435	7457	2928
1436	7460	2923
1437	7465	2917
1438	7468	2911
1439	7472	2906
1440	7476	2900
1441	7480	2894
1442	7484	2888
1443	7488	2883
1444	7491	2877
1445	7495	2871
1446	7499	2866
1447	7503	2860
1448	7507	2854
1449	7511	2849
1450	7515	2843
1451	7519	2837
1452	7523	2832
1453	7527	2826
1454	7530	2820
1455	7535	2815
1456	7539	2809
1457	7543	2804
1458	7546	2798
1459	7550	2792
1460	7554	2787
1461	7558	2781
1462	7562	2775
1463	7566	2770
1464	7570	2764
1465	7574	2758
1466	7578	2753
1467	7583	2748
1468	7587	2742
1469	7591	2736
1470	7594	2731
1471	7598	2725
1472	7602	2720
1473	7606	2714
1474	7610	2708
1475	7614	2703
1476	7620	2698
1477	7624	2692
1478	7628	2687
1479	7632	2681
1480	7636	2676
1481	7640	2670
1482	7644	2665
1483	7648	2659
1484	7652	2653
1485	7655	2648
1486	7659	2642
1487	7663	2636
1488	7667	2631
1489	7671	2625
1490	7675	2620
1491	7679	2614
1492	7683	2609
1493	7686	2603
1494	7690	2597
1495	7695	2592
1496	7698	2586
1497	7702	2581
1498	7706	2575
1499	7710	2570
1500	7714	2564
1501	7718	2558
1502	7722	2553
1503	7725	2547
1504	7729	2542
1505	7734	2537
1506	7738	2531
1507	7742	2525
1508	7746	2520
1509	7749	2514
1510	7753	2509
1511	7757	2503
1512	7761	2498
